ID;SCENE;FLOOD DATE;AOI;GRD;SLC;;;;;;;;
;421(FRANCE);22/01/2020;5;S1B_IW_GRDH_1SDV_20190603T173816_20190603T173841_016535_01F1FD_F674;S1B_IW_SLC__1SDV_20190603T173814_20190603T173841_016535_01F1FD_14D2;;;;;;;;
;;;5;S1B_IW_GRDH_1SDV_20190620T174626_20190620T174651_016783_01F95A_64DB;S1B_IW_SLC__1SDV_20190620T174624_20190620T174652_016783_01F95A_6A5F;;;;;;;;
;;;5;S1A_IW_GRDH_1SDV_20200123T173850_20200123T173915_030931_038D00_979B;S1A_IW_SLC__1SDV_20200123T173849_20200123T173916_030931_038D00_968B;;;;;;;;
;;;;;;;;;;;;;
;427 (SWEDEN);18/02/2020;3,4;S1A_IW_GRDH_1SDV_20190627T165351_20190627T165416_027868_03256D_0DB6;S1A_IW_SLC__1SDV_20190627T165350_20190627T165417_027868_03256D_BCDD;;;;;;;;
;;;3,4;S1A_IW_GRDH_1SDV_20190709T165351_20190709T165416_028043_032AC4_25A4;S1A_IW_SLC__1SDV_20190709T165350_20190709T165417_028043_032AC4_ED7D;;;;;;;;
;;;3,4;S1A_IW_GRDH_1SDV_20200222T165353_20200222T165418_031368_039C39_0BDE;S1A_IW_SLC__1SDV_20200222T165352_20200222T165419_031368_039C39_0353;;;;;;;;
;;;;;;;;;;;;;
;437(FRANCE);10/05/2020;7;S1B_IW_GRDH_1SDV_20200314T060816_20200314T060841_020684_027359_C45F;S1B_IW_SLC__1SDV_20200314T060815_20200314T060842_020684_027359_1A3A;;;;;;;;
;;;7;S1B_IW_GRDH_1SDV_20200407T060817_20200407T060842_021034_027E6A_2A51;S1B_IW_SLC__1SDV_20200407T060816_20200407T060843_021034_027E6A_A41F;;;;;;;;
;;;7;S1B_IW_GRDH_1SDV_20200513T060818_20200513T060843_021559_028EE8_45FA;S1B_IW_SLC__1SDV_20200513T060817_20200513T060844_021559_028EE8_45B5;;;;;;;;
;;;;;;;;;;;;;
;445(ROMANIA);26/06/2020;1;S1B_IW_GRDH_1SDV_20200602T160914_20200602T160939_021857_0297C3_BE17;S1B_IW_SLC__1SDV_20200602T160913_20200602T160940_021857_0297C3_3DD2;;;;;;;;
;;;1;S1B_IW_GRDH_1SDV_20200614T160915_20200614T160940_022032_029D01_DFB8;S1B_IW_SLC__1SDV_20200614T160913_20200614T160941_022032_029D01_9CE4;;;;;;;;
;;;1;S1B_IW_GRDH_1SDV_20200626T160915_20200626T160940_022207_02A256_2724;S1B_IW_SLC__1SDV_20200626T160914_20200626T160942_022207_02A256_E13F;;;;;;;;
